"","Home.Team","Away.Team","Goals H","Goals A","Probability","Game"
"1","AmericaDeCali","Aguilas",0,0,0.158931887530953,1
"2","AmericaDeCali","Aguilas",0,1,0.0544306108876291,1
"3","AmericaDeCali","Aguilas",0,2,0.0107246511120738,1
"4","AmericaDeCali","Aguilas",0,3,0.00148825732406171,1
"5","AmericaDeCali","Aguilas",0,4,0.00016250269893729,1
"6","AmericaDeCali","Aguilas",0,5,1.47471654995639e-05,1
"7","AmericaDeCali","Aguilas",1,0,0.212165325025831,1
"8","AmericaDeCali","Aguilas",1,1,0.103149394254708,1
"9","AmericaDeCali","Aguilas",1,2,0.0181301489693133,1
"10","AmericaDeCali","Aguilas",1,3,0.0025836707411291,1
"11","AmericaDeCali","Aguilas",1,4,0.000283172507858579,1
"12","AmericaDeCali","Aguilas",1,5,2.54391697484316e-05,1
"13","AmericaDeCali","Aguilas",2,0,0.154404816151979,1
"14","AmericaDeCali","Aguilas",2,1,0.068391828802594,1
"15","AmericaDeCali","Aguilas",2,2,0.0257044730117164,1
"16","AmericaDeCali","Aguilas",2,3,0.00235630606891827,1
"17","AmericaDeCali","Aguilas",2,4,0.000268490419244445,1
"18","AmericaDeCali","Aguilas",2,5,2.44804983553533e-05,1
"19","AmericaDeCali","Aguilas",3,0,0.0751230102409017,1
"20","AmericaDeCali","Aguilas",3,1,0.0355455859369551,1
"21","AmericaDeCali","Aguilas",3,2,0.00883675351468705,1
"22","AmericaDeCali","Aguilas",3,3,0.0057121901445185,1
"23","AmericaDeCali","Aguilas",3,4,0.000183617987450092,1
"24","AmericaDeCali","Aguilas",3,5,1.78500338278217e-05,1
"25","AmericaDeCali","Aguilas",4,0,0.0274903511091963,1
"26","AmericaDeCali","Aguilas",4,1,0.0137472954117875,1
"27","AmericaDeCali","Aguilas",4,2,0.00374998121000168,1
"28","AmericaDeCali","Aguilas",4,3,0.000705567307789094,1
"29","AmericaDeCali","Aguilas",4,4,0.00142735835252531,1
"30","AmericaDeCali","Aguilas",4,5,1.07493269132801e-05,1
"31","AmericaDeCali","Aguilas",5,0,0.00807090012035938,1
"32","AmericaDeCali","Aguilas",5,1,0.00422712982367565,1
"33","AmericaDeCali","Aguilas",5,2,0.0012603584730482,1
"34","AmericaDeCali","Aguilas",5,3,0.000268060014882431,1
"35","AmericaDeCali","Aguilas",5,4,4.31033996953689e-05,1
"36","AmericaDeCali","Aguilas",5,5,0.000339935251234274,1
"37","Atl.Nacional","Aguilas",0,0,0.140455122793884,2
"38","Atl.Nacional","Aguilas",0,1,0.0197781563452795,2
"39","Atl.Nacional","Aguilas",0,2,0.00175804605303844,2
"40","Atl.Nacional","Aguilas",0,3,0.000113563537270953,2
"41","Atl.Nacional","Aguilas",0,4,5.78705001691359e-06,2
"42","Atl.Nacional","Aguilas",0,5,2.43068220251506e-07,2
"43","Atl.Nacional","Aguilas",1,0,0.230209532698274,2
"44","Atl.Nacional","Aguilas",1,1,0.060392768865802,2
"45","Atl.Nacional","Aguilas",1,2,0.00388373729923036,2
"46","Atl.Nacional","Aguilas",1,3,0.000237859047352332,2
"47","Atl.Nacional","Aguilas",1,4,1.15817157874416e-05,2
"48","Atl.Nacional","Aguilas",1,5,4.73086696126783e-07,2
"49","Atl.Nacional","Aguilas",2,0,0.209491253666545,2
"50","Atl.Nacional","Aguilas",2,1,0.045523913275509,2
"51","Atl.Nacional","Aguilas",2,2,0.014967648679684,2
"52","Atl.Nacional","Aguilas",2,3,0.000290674152772796,2
"53","Atl.Nacional","Aguilas",2,4,1.33891017292274e-05,2
"54","Atl.Nacional","Aguilas",2,5,5.09799149441239e-07,2
"55","Atl.Nacional","Aguilas",3,0,0.128071571735409,2
"56","Atl.Nacional","Aguilas",3,1,0.0302038563133532,2
"57","Atl.Nacional","Aguilas",3,2,0.00368008030344914,2
"58","Atl.Nacional","Aguilas",3,3,0.00455054428397779,2
"59","Atl.Nacional","Aguilas",3,4,1.35527705332004e-05,2
"60","Atl.Nacional","Aguilas",3,5,4.96020714274008e-07,2
"61","Atl.Nacional","Aguilas",4,0,0.0591277618165695,2
"62","Atl.Nacional","Aguilas",4,1,0.0146504862723199,2
"63","Atl.Nacional","Aguilas",4,2,0.00208719033595592,2
"64","Atl.Nacional","Aguilas",4,3,0.000198478875906732,2
"65","Atl.Nacional","Aguilas",4,4,0.00135457799171347,2
"66","Atl.Nacional","Aguilas",4,5,5.3013288781349e-07,2
"67","Atl.Nacional","Aguilas",5,0,0.0219719146571158,2
"68","Atl.Nacional","Aguilas",5,1,0.00559070138349164,2
