g1,g2,team1,team2
0,1,Cortulua,Aguilas
0,1,DepPasto,Aguilas
3,1,Envigado,Aguilas
2,1,Fortaleza,Aguilas
1,1,Huila,Aguilas
1,0,JaguaresdeCordoba,Aguilas
1,1,Junior,Aguilas
0,0,Millonarios,Aguilas
1,1,OnceCaldas,Aguilas
0,1,Patriotas,Aguilas
1,1,Aguilas,AtlNacional
2,2,Bucaramanga,AtlNacional
1,1,Chico,AtlNacional
1,0,DepCali,AtlNacional
0,0,Envigado,AtlNacional
0,1,Fortaleza,AtlNacional
2,2,IndMedellin,AtlNacional
1,3,LaEquidad,AtlNacional
3,3,Petrolera,AtlNacional
0,0,SantaFe,AtlNacional
2,2,Aguilas,Bucaramanga
2,1,DepCali,Bucaramanga
0,0,Envigado,Bucaramanga
1,1,Fortaleza,Bucaramanga
1,0,IndMedellin,Bucaramanga
2,1,LaEquidad,Bucaramanga
0,1,Millonarios,Bucaramanga
3,0,OnceCaldas,Bucaramanga
0,1,Petrolera,Bucaramanga
1,0,SantaFe,Bucaramanga
2,1,Aguilas,Chico
2,0,Bucaramanga,Chico
2,0,DepCali,Chico
3,1,Envigado,Chico
2,1,Fortaleza,Chico
3,2,IndMedellin,Chico
1,1,LaEquidad,Chico
1,0,Patriotas,Chico
1,0,Petrolera,Chico
1,0,SantaFe,Chico
1,1,AtlNacional,Cortulua
3,1,Bucaramanga,Cortulua
3,1,Chico,Cortulua
3,1,DepCali,Cortulua
0,2,DeportesTolima,Cortulua
1,0,DepPasto,Cortulua
1,0,Envigado,Cortulua
2,1,Huila,Cortulua
1,1,JaguaresdeCordoba,Cortulua
4,1,Patriotas,Cortulua
1,3,Aguilas,DepCali
1,1,Cortulua,DepCali
1,0,DeportesTolima,DepCali
0,2,Fortaleza,DepCali
2,1,Huila,DepCali
0,1,JaguaresdeCordoba,DepCali
1,0,Millonarios,DepCali
2,0,OnceCaldas,DepCali
1,0,Petrolera,DepCali
2,2,SantaFe,DepCali
0,0,Aguilas,DeportesTolima
2,2,AtlNacional,DeportesTolima
0,1,Bucaramanga,DeportesTolima
0,4,Chico,DeportesTolima
1,0,Envigado,DeportesTolima
1,1,Huila,DeportesTolima
1,1,IndMedellin,DeportesTolima
2,2,LaEquidad,DeportesTolima
3,0,Petrolera,DeportesTolima
1,1,SantaFe,DeportesTolima
3,1,AtlNacional,DepPasto
2,1,Bucaramanga,DepPasto
0,2,Chico,DepPasto
1,1,DepCali,DepPasto
0,0,DeportesTolima,DepPasto
1,1,Envigado,DepPasto
2,0,IndMedellin,DepPasto
3,1,JaguaresdeCordoba,DepPasto
4,0,LaEquidad,DepPasto
2,2,OnceCaldas,DepPasto
1,4,Aguilas,Envigado
1,0,DepCali,Envigado
1,2,Fortaleza,Envigado
0,1,IndMedellin,Envigado
2,1,Junior,Envigado
2,2,LaEquidad,Envigado
4,1,Millonarios,Envigado
2,0,OnceCaldas,Envigado
1,0,Petrolera,Envigado
2,0,SantaFe,Envigado
2,2,Cortulua,Fortaleza
0,0,DeportesTolima,Fortaleza
1,0,DepPasto,Fortaleza
2,1,Huila,Fortaleza
1,0,JaguaresdeCordoba,Fortaleza
1,1,Junior,Fortaleza
2,2,LaEquidad,Fortaleza
3,2,Millonarios,Fortaleza
3,0,OnceCaldas,Fortaleza
1,0,Patriotas,Fortaleza
4,0,AtlNacional,Huila
0,0,Bucaramanga,Huila
2,0,Chico,Huila
