g1,g2,team1,team2
0,0,AmericaDeCali,Aguilas
3,0,Atl.Nacional,Aguilas
3,0,Dep.Cali,Aguilas
2,2,Dep.Pasto,Aguilas
1,1,DeportesTolima,Aguilas
1,1,Envigado,Aguilas
2,2,LaEquidad,Aguilas
1,0,OnceCaldas,Aguilas
2,2,SantaFe,Aguilas
0,0,Tigres,Aguilas
1,0,Bucaramanga,AmericaDeCali
0,1,Cortulua,AmericaDeCali
2,1,Dep.Cali,AmericaDeCali
2,1,DeportesTolima,AmericaDeCali
2,0,Huila,AmericaDeCali
2,2,Ind.Medellin,AmericaDeCali
0,3,LaEquidad,AmericaDeCali
3,0,Millonarios,AmericaDeCali
0,0,Patriotas,AmericaDeCali
3,3,Petrolera,AmericaDeCali
0,0,AmericaDeCali,Atl.Nacional
0,1,Bucaramanga,Atl.Nacional
0,1,Cortulua,Atl.Nacional
0,0,DeportesTolima,Atl.Nacional
0,1,Huila,Atl.Nacional
4,3,Ind.Medellin,Atl.Nacional
0,2,LaEquidad,Atl.Nacional
0,1,Millonarios,Atl.Nacional
0,1,Patriotas,Atl.Nacional
1,5,Petrolera,Atl.Nacional
1,0,Aguilas,Bucaramanga
0,0,Cortulua,Bucaramanga
0,1,Huila,Bucaramanga
0,1,Ind.Medellin,Bucaramanga
1,1,JaguaresdeCordoba,Bucaramanga
3,1,Junior,Bucaramanga
3,0,Millonarios,Bucaramanga
0,0,Patriotas,Bucaramanga
1,1,Petrolera,Bucaramanga
1,0,SantaFe,Bucaramanga
0,1,Aguilas,Cortulua
2,0,Dep.Cali,Cortulua
2,2,Dep.Pasto,Cortulua
2,2,Huila,Cortulua
2,1,JaguaresdeCordoba,Cortulua
2,1,Junior,Cortulua
2,1,Millonarios,Cortulua
1,1,Petrolera,Cortulua
2,0,SantaFe,Cortulua
1,0,Tigres,Cortulua
3,0,AmericaDeCali,Dep.Cali
0,0,Atl.Nacional,Dep.Cali
1,1,Bucaramanga,Dep.Cali
2,2,DeportesTolima,Dep.Cali
2,0,Envigado,Dep.Cali
3,1,Ind.Medellin,Dep.Cali
0,1,LaEquidad,Dep.Cali
0,2,OnceCaldas,Dep.Cali
3,2,Patriotas,Dep.Cali
0,0,Tigres,Dep.Cali
1,0,AmericaDeCali,Dep.Pasto
2,1,Atl.Nacional,Dep.Pasto
1,0,Bucaramanga,Dep.Pasto
0,4,Cortulua,Dep.Pasto
0,0,Dep.Cali,Dep.Pasto
1,1,Envigado,Dep.Pasto
0,1,Huila,Dep.Pasto
4,1,Ind.Medellin,Dep.Pasto
2,2,OnceCaldas,Dep.Pasto
0,1,Tigres,Dep.Pasto
2,1,Bucaramanga,DeportesTolima
2,2,Cortulua,DeportesTolima
1,0,Dep.Pasto,DeportesTolima
1,0,Huila,DeportesTolima
3,2,Ind.Medellin,DeportesTolima
1,0,JaguaresdeCordoba,DeportesTolima
1,0,Junior,DeportesTolima
3,0,Millonarios,DeportesTolima
2,0,Patriotas,DeportesTolima
2,1,Petrolera,DeportesTolima
1,1,Aguilas,Envigado
2,0,AmericaDeCali,Envigado
2,0,Atl.Nacional,Envigado
1,1,Bucaramanga,Envigado
1,3,Cortulua,Envigado
2,1,DeportesTolima,Envigado
2,0,Huila,Envigado
2,1,Ind.Medellin,Envigado
1,0,LaEquidad,Envigado
3,1,Patriotas,Envigado
1,0,Aguilas,Huila
4,0,Dep.Cali,Huila
2,0,DeportesTolima,Huila
0,0,JaguaresdeCordoba,Huila
3,3,Junior,Huila
2,0,Millonarios,Huila
2,1,OnceCaldas,Huila
0,1,Petrolera,Huila
1,0,SantaFe,Huila
0,1,Tigres,Huila
0,1,Aguilas,Ind.Medellin
3,1,Atl.Nacional,Ind.Medellin
2,2,Cortulua,Ind.Medellin
2,1,Huila,Ind.Medellin
0,1,JaguaresdeCordoba,Ind.Medellin
2,0,Junior,Ind.Medellin
1,1,Millonarios,Ind.Medellin
0,1,Patriotas,Ind.Medellin
1,1,Petrolera,Ind.Medellin
0,1,SantaFe,Ind.Medellin
0,1,Aguilas,JaguaresdeCordoba
0,2,AmericaDeCali,JaguaresdeCordoba
2,0,Atl.Nacional,JaguaresdeCordoba
1,1,Dep.Cali,JaguaresdeCordoba
0,0,Dep.Pasto,JaguaresdeCordoba
1,1,Envigado,JaguaresdeCordoba
1,1,Junior,JaguaresdeCordoba
0,0,OnceCaldas,JaguaresdeCordoba
0,2,SantaFe,JaguaresdeCordoba
2,1,Tigres,JaguaresdeCordoba
1,0,Aguilas,Junior
3,1,AmericaDeCali,Junior
2,1,Atl.Nacional,Junior
3,1,Dep.Cali,Junior
1,1,Dep.Pasto,Junior
0,0,Envigado,Junior
1,0,LaEquidad,Junior
3,3,OnceCaldas,Junior
1,0,SantaFe,Junior
1,0,Tigres,Junior
1,0,Bucaramanga,LaEquidad
2,1,Cortulua,LaEquidad
1,1,Dep.Pasto,LaEquidad
1,1,DeportesTolima,LaEquidad
0,2,Huila,LaEquidad
1,1,Ind.Medellin,LaEquidad
0,2,JaguaresdeCordoba,LaEquidad
1,0,Millonarios,LaEquidad
1,1,Patriotas,LaEquidad
2,0,Petrolera,LaEquidad
0,0,Aguilas,Millonarios
1,1,Dep.Cali,Millonarios
2,1,Dep.Pasto,Millonarios
1,1,Envigado,Millonarios
1,0,JaguaresdeCordoba,Millonarios
1,1,Junior,Millonarios
2,1,OnceCaldas,Millonarios
2,0,Petrolera,Millonarios
2,1,SantaFe,Millonarios
1,1,Tigres,Millonarios
4,1,AmericaDeCali,OnceCaldas
1,0,Atl.Nacional,OnceCaldas
1,1,Bucaramanga,OnceCaldas
1,1,Cortulua,OnceCaldas
2,2,DeportesTolima,OnceCaldas
0,0,Envigado,OnceCaldas
1,0,Ind.Medellin,OnceCaldas
3,0,Junior,OnceCaldas
2,0,LaEquidad,OnceCaldas
2,0,Patriotas,OnceCaldas
2,1,Aguilas,Patriotas
0,0,Cortulua,Patriotas
5,0,Dep.Pasto,Patriotas
1,1,Huila,Patriotas
1,1,JaguaresdeCordoba,Patriotas
0,0,Junior,Patriotas
0,0,LaEquidad,Patriotas
2,0,Millonarios,Patriotas
1,0,Petrolera,Patriotas
0,0,SantaFe,Patriotas
