g1,g2,team1,team2
0,0,Aguilas,AmericaDeCali
0,3,Aguilas,Atl.Nacional
0,3,Aguilas,Dep.Cali
2,2,Aguilas,Dep.Pasto
1,1,Aguilas,DeportesTolima
1,1,Aguilas,Envigado
2,2,Aguilas,LaEquidad
0,1,Aguilas,OnceCaldas
2,2,Aguilas,SantaFe
0,0,Aguilas,Tigres
0,1,AmericaDeCali,Bucaramanga
1,0,AmericaDeCali,Cortulua
1,2,AmericaDeCali,Dep.Cali
1,2,AmericaDeCali,DeportesTolima
0,2,AmericaDeCali,Huila
2,2,AmericaDeCali,Ind.Medellin
3,0,AmericaDeCali,LaEquidad
0,3,AmericaDeCali,Millonarios
0,0,AmericaDeCali,Patriotas
3,3,AmericaDeCali,Petrolera
0,0,Atl.Nacional,AmericaDeCali
1,0,Atl.Nacional,Bucaramanga
1,0,Atl.Nacional,Cortulua
0,0,Atl.Nacional,DeportesTolima
1,0,Atl.Nacional,Huila
3,4,Atl.Nacional,Ind.Medellin
2,0,Atl.Nacional,LaEquidad
1,0,Atl.Nacional,Millonarios
1,0,Atl.Nacional,Patriotas
5,1,Atl.Nacional,Petrolera
0,1,Bucaramanga,Aguilas
0,0,Bucaramanga,Cortulua
1,0,Bucaramanga,Huila
1,0,Bucaramanga,Ind.Medellin
1,1,Bucaramanga,JaguaresdeCordoba
1,3,Bucaramanga,Junior
0,3,Bucaramanga,Millonarios
0,0,Bucaramanga,Patriotas
1,1,Bucaramanga,Petrolera
0,1,Bucaramanga,SantaFe
1,0,Cortulua,Aguilas
0,2,Cortulua,Dep.Cali
2,2,Cortulua,Dep.Pasto
2,2,Cortulua,Huila
1,2,Cortulua,JaguaresdeCordoba
1,2,Cortulua,Junior
1,2,Cortulua,Millonarios
1,1,Cortulua,Petrolera
0,2,Cortulua,SantaFe
0,1,Cortulua,Tigres
0,3,Dep.Cali,AmericaDeCali
0,0,Dep.Cali,Atl.Nacional
1,1,Dep.Cali,Bucaramanga
2,2,Dep.Cali,DeportesTolima
0,2,Dep.Cali,Envigado
1,3,Dep.Cali,Ind.Medellin
1,0,Dep.Cali,LaEquidad
2,0,Dep.Cali,OnceCaldas
2,3,Dep.Cali,Patriotas
0,0,Dep.Cali,Tigres
0,1,Dep.Pasto,AmericaDeCali
1,2,Dep.Pasto,Atl.Nacional
0,1,Dep.Pasto,Bucaramanga
4,0,Dep.Pasto,Cortulua
0,0,Dep.Pasto,Dep.Cali
1,1,Dep.Pasto,Envigado
1,0,Dep.Pasto,Huila
1,4,Dep.Pasto,Ind.Medellin
2,2,Dep.Pasto,OnceCaldas
1,0,Dep.Pasto,Tigres
1,2,DeportesTolima,Bucaramanga
2,2,DeportesTolima,Cortulua
0,1,DeportesTolima,Dep.Pasto
0,1,DeportesTolima,Huila
2,3,DeportesTolima,Ind.Medellin
0,1,DeportesTolima,JaguaresdeCordoba
0,1,DeportesTolima,Junior
0,3,DeportesTolima,Millonarios
0,2,DeportesTolima,Patriotas
1,2,DeportesTolima,Petrolera
1,1,Envigado,Aguilas
0,2,Envigado,AmericaDeCali
0,2,Envigado,Atl.Nacional
1,1,Envigado,Bucaramanga
3,1,Envigado,Cortulua
1,2,Envigado,DeportesTolima
0,2,Envigado,Huila
1,2,Envigado,Ind.Medellin
0,1,Envigado,LaEquidad
1,3,Envigado,Patriotas
0,1,Huila,Aguilas
0,4,Huila,Dep.Cali
0,2,Huila,DeportesTolima
0,0,Huila,JaguaresdeCordoba
3,3,Huila,Junior
0,2,Huila,Millonarios
1,2,Huila,OnceCaldas
1,0,Huila,Petrolera
0,1,Huila,SantaFe
1,0,Huila,Tigres
1,0,Ind.Medellin,Aguilas
1,3,Ind.Medellin,Atl.Nacional
2,2,Ind.Medellin,Cortulua
1,2,Ind.Medellin,Huila
1,0,Ind.Medellin,JaguaresdeCordoba
0,2,Ind.Medellin,Junior
1,1,Ind.Medellin,Millonarios
1,0,Ind.Medellin,Patriotas
1,1,Ind.Medellin,Petrolera
1,0,Ind.Medellin,SantaFe
1,0,JaguaresdeCordoba,Aguilas
2,0,JaguaresdeCordoba,AmericaDeCali
0,2,JaguaresdeCordoba,Atl.Nacional
1,1,JaguaresdeCordoba,Dep.Cali
0,0,JaguaresdeCordoba,Dep.Pasto
1,1,JaguaresdeCordoba,Envigado
1,1,JaguaresdeCordoba,Junior
0,0,JaguaresdeCordoba,OnceCaldas
2,0,JaguaresdeCordoba,SantaFe
1,2,JaguaresdeCordoba,Tigres
0,1,Junior,Aguilas
1,3,Junior,AmericaDeCali
1,2,Junior,Atl.Nacional
1,3,Junior,Dep.Cali
1,1,Junior,Dep.Pasto
0,0,Junior,Envigado
0,1,Junior,LaEquidad
3,3,Junior,OnceCaldas
0,1,Junior,SantaFe
0,1,Junior,Tigres
0,1,LaEquidad,Bucaramanga
1,2,LaEquidad,Cortulua
1,1,LaEquidad,Dep.Pasto
1,1,LaEquidad,DeportesTolima
2,0,LaEquidad,Huila
1,1,LaEquidad,Ind.Medellin
2,0,LaEquidad,JaguaresdeCordoba
0,1,LaEquidad,Millonarios
1,1,LaEquidad,Patriotas
0,2,LaEquidad,Petrolera
0,0,Millonarios,Aguilas
1,1,Millonarios,Dep.Cali
1,2,Millonarios,Dep.Pasto
1,1,Millonarios,Envigado
0,1,Millonarios,JaguaresdeCordoba
1,1,Millonarios,Junior
1,2,Millonarios,OnceCaldas
0,2,Millonarios,Petrolera
1,2,Millonarios,SantaFe
1,1,Millonarios,Tigres
1,4,OnceCaldas,AmericaDeCali
0,1,OnceCaldas,Atl.Nacional
1,1,OnceCaldas,Bucaramanga
1,1,OnceCaldas,Cortulua
2,2,OnceCaldas,DeportesTolima
0,0,OnceCaldas,Envigado
0,1,OnceCaldas,Ind.Medellin
0,3,OnceCaldas,Junior
0,2,OnceCaldas,LaEquidad
0,2,OnceCaldas,Patriotas
1,2,Patriotas,Aguilas
0,0,Patriotas,Cortulua
0,5,Patriotas,Dep.Pasto
1,1,Patriotas,Huila
1,1,Patriotas,JaguaresdeCordoba
0,0,Patriotas,Junior
0,0,Patriotas,LaEquidad
0,2,Patriotas,Millonarios
0,1,Patriotas,Petrolera
0,0,Patriotas,SantaFe
0,0,Petrolera,Aguilas
0,2,Petrolera,Bucaramanga
2,2,Petrolera,Dep.Cali
0,1,Petrolera,Dep.Pasto
0,0,Petrolera,Envigado
2,0,Petrolera,JaguaresdeCordoba
1,1,Petrolera,Junior
2,0,Petrolera,OnceCaldas
1,1,Petrolera,SantaFe
1,1,Petrolera,Tigres
1,0,SantaFe,AmericaDeCali
1,3,SantaFe,Atl.Nacional
0,0,SantaFe,Dep.Cali
1,3,SantaFe,Dep.Pasto
1,3,SantaFe,DeportesTolima
1,0,SantaFe,Envigado
0,0,SantaFe,LaEquidad
0,3,SantaFe,Millonarios
0,0,SantaFe,OnceCaldas
1,1,SantaFe,Tigres
0,2,Tigres,AmericaDeCali
0,0,Tigres,Atl.Nacional
1,0,Tigres,Bucaramanga
0,3,Tigres,DeportesTolima
2,3,Tigres,Envigado
0,3,Tigres,Ind.Medellin
1,2,Tigres,JaguaresdeCordoba
0,0,Tigres,LaEquidad
0,0,Tigres,OnceCaldas
0,3,Tigres,Patriotas
