"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"1","AmericaDeCali","Bucaramanga",0,0,0.20173508948025
"2","AmericaDeCali","Bucaramanga",0,1,0.164123433682886
"3","AmericaDeCali","Bucaramanga",0,2,0.071417321835034
"4","AmericaDeCali","Bucaramanga",0,3,0.020761605053921
"5","AmericaDeCali","Bucaramanga",0,4,0.00453574396157148
"6","AmericaDeCali","Bucaramanga",0,5,0.000794233620357254
"7","AmericaDeCali","Bucaramanga",1,0,0.133438092847934
"8","AmericaDeCali","Bucaramanga",1,1,0.140984992840243
"9","AmericaDeCali","Bucaramanga",1,2,0.057527055080245
"10","AmericaDeCali","Bucaramanga",1,3,0.0175096977321769
"11","AmericaDeCali","Bucaramanga",1,4,0.00396546561524163
"12","AmericaDeCali","Bucaramanga",1,5,0.000713952217709465
"13","AmericaDeCali","Bucaramanga",2,0,0.0472570256444393
"14","AmericaDeCali","Bucaramanga",2,1,0.0468272554836885
"15","AmericaDeCali","Bucaramanga",2,2,0.0334483032384578
"16","AmericaDeCali","Bucaramanga",2,3,0.00767493342059229
"17","AmericaDeCali","Bucaramanga",2,4,0.00188105061301073
"18","AmericaDeCali","Bucaramanga",2,5,0.000364973186364073
"19","AmericaDeCali","Bucaramanga",3,0,0.0111931359751282
"20","AmericaDeCali","Bucaramanga",3,1,0.0116136465241489
"21","AmericaDeCali","Bucaramanga",3,2,0.00625387758850459
"22","AmericaDeCali","Bucaramanga",3,3,0.00651120968355136
"23","AmericaDeCali","Bucaramanga",3,4,0.000630667916446289
"24","AmericaDeCali","Bucaramanga",3,5,0.000137826907496467
"25","AmericaDeCali","Bucaramanga",4,0,0.00199464641900509
"26","AmericaDeCali","Bucaramanga",4,1,0.00214506220269199
"27","AmericaDeCali","Bucaramanga",4,2,0.00124990067001676
"28","AmericaDeCali","Bucaramanga",4,3,0.000514235150151762
"29","AmericaDeCali","Bucaramanga",4,4,0.00148772470431007
"30","AmericaDeCali","Bucaramanga",4,5,4.09634338774017e-05
"31","AmericaDeCali","Bucaramanga",5,0,0.000285238811891676
"32","AmericaDeCali","Bucaramanga",5,1,0.000315239039005087
"33","AmericaDeCali","Bucaramanga",5,2,0.000197867058107399
"34","AmericaDeCali","Bucaramanga",5,3,9.16664503088872e-05
"35","AmericaDeCali","Bucaramanga",5,4,3.34090539048324e-05
"36","AmericaDeCali","Bucaramanga",5,5,0.000343456857331147
"37","Atl.Nacional","Cortulua",0,0,0.122318276999176
"38","Atl.Nacional","Cortulua",0,1,0.0419947612516923
"39","Atl.Nacional","Cortulua",0,2,0.00877289041053506
"40","Atl.Nacional","Cortulua",0,3,0.00128642662793476
"41","Atl.Nacional","Cortulua",0,4,0.00014550203284122
"42","Atl.Nacional","Cortulua",0,5,1.33564466120706e-05
"43","Atl.Nacional","Cortulua",1,0,0.187702222755379
"44","Atl.Nacional","Cortulua",1,1,0.0969481931187409
"45","Atl.Nacional","Cortulua",1,2,0.0171714789436819
"46","Atl.Nacional","Cortulua",1,3,0.00248829729860839
"47","Atl.Nacional","Cortulua",1,4,0.000276418287089911
"48","Atl.Nacional","Cortulua",1,5,2.49983376568112e-05
"49","Atl.Nacional","Cortulua",2,0,0.162317660691898
"50","Atl.Nacional","Cortulua",2,1,0.0753768935339053
"51","Atl.Nacional","Cortulua",2,2,0.0271984847920746
"52","Atl.Nacional","Cortulua",2,3,0.00248428449119125
"53","Atl.Nacional","Cortulua",2,4,0.000273467287398059
"54","Atl.Nacional","Cortulua",2,5,2.42951192593463e-05
"55","Atl.Nacional","Cortulua",3,0,0.0943212825865455
"56","Atl.Nacional","Cortulua",3,1,0.0463260780799912
"57","Atl.Nacional","Cortulua",3,2,0.011038659808407
"58","Atl.Nacional","Cortulua",3,3,0.00596341262153026
"59","Atl.Nacional","Cortulua",3,4,0.000189941937584371
"60","Atl.Nacional","Cortulua",3,5,1.68021919128665e-05
"61","Atl.Nacional","Cortulua",4,0,0.0414113989687559
"62","Atl.Nacional","Cortulua",4,1,0.0211367040619107
"63","Atl.Nacional","Cortulua",4,2,0.00534417809584303
"64","Atl.Nacional","Cortulua",4,3,0.000876176803049525
"65","Atl.Nacional","Cortulua",4,4,0.0014438741950133
"66","Atl.Nacional","Cortulua",4,5,9.48128959500245e-06
"67","Atl.Nacional","Cortulua",5,0,0.0146445456235766
"68","Atl.Nacional","Cortulua",5,1,0.00766433802457354
"69","Atl.Nacional","Cortulua",5,2,0.00204451260724479
"70","Atl.Nacional","Cortulua",5,3,0.000361923568791503
"71","Atl.Nacional","Cortulua",5,4,4.67069673455283e-05
"72","Atl.Nacional","Cortulua",5,5,0.000342074142654282
"73","Dep.Pasto","Ind.Medellin",0,0,0.0612187566895429
"74","Dep.Pasto","Ind.Medellin",0,1,0.0881410369121694
"75","Dep.Pasto","Ind.Medellin",0,2,0.0806515699250569
"76","Dep.Pasto","Ind.Medellin",0,3,0.0494073200913634
"77","Dep.Pasto","Ind.Medellin",0,4,0.0227967347413962
"78","Dep.Pasto","Ind.Medellin",0,5,0.00845043274947206
"79","Dep.Pasto","Ind.Medellin",1,0,0.053521613403619
"80","Dep.Pasto","Ind.Medellin",1,1,0.117194418426301
"81","Dep.Pasto","Ind.Medellin",1,2,0.0948155513558193
"82","Dep.Pasto","Ind.Medellin",1,3,0.0594563677993586
"83","Dep.Pasto","Ind.Medellin",1,4,0.0279690363460643
"84","Dep.Pasto","Ind.Medellin",1,5,0.0105320012751713
"85","Dep.Pasto","Ind.Medellin",2,0,0.029985203891721
"86","Dep.Pasto","Ind.Medellin",2,1,0.0577117189788233
"87","Dep.Pasto","Ind.Medellin",2,2,0.0657848877541468
"88","Dep.Pasto","Ind.Medellin",2,3,0.0355790177704162
"89","Dep.Pasto","Ind.Medellin",2,4,0.0170884024633056
"90","Dep.Pasto","Ind.Medellin",2,5,0.00656083296237929
"91","Dep.Pasto","Ind.Medellin",3,0,0.0113221801112347
"92","Dep.Pasto","Ind.Medellin",3,1,0.0220897244680109
"93","Dep.Pasto","Ind.Medellin",3,2,0.0216113487768029
"94","Dep.Pasto","Ind.Medellin",3,3,0.0183838749450292
"95","Dep.Pasto","Ind.Medellin",3,4,0.00692775030632238
"96","Dep.Pasto","Ind.Medellin",3,5,0.00271941214253305
"97","Dep.Pasto","Ind.Medellin",4,0,0.00323648856209415
