"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"1","OnceCaldas","Aguilas",0,0,0.273636763613483
"2","OnceCaldas","Aguilas",0,1,0.129097306164722
"3","OnceCaldas","Aguilas",0,2,0.0339541286728493
"4","OnceCaldas","Aguilas",0,3,0.00632964049076772
"5","OnceCaldas","Aguilas",0,4,0.000934580734913983
"6","OnceCaldas","Aguilas",0,5,0.000115327335809051
"7","OnceCaldas","Aguilas",1,0,0.190328438226004
"8","OnceCaldas","Aguilas",1,1,0.126891267997192
"9","OnceCaldas","Aguilas",1,2,0.032199025505291
"10","OnceCaldas","Aguilas",1,3,0.00632604706642796
"11","OnceCaldas","Aguilas",1,4,0.000949903348500705
"12","OnceCaldas","Aguilas",1,5,0.00011657469491276
"13","OnceCaldas","Aguilas",2,0,0.0711302213077931
"14","OnceCaldas","Aguilas",2,1,0.0462700336291268
"15","OnceCaldas","Aguilas",2,2,0.025603929987548
"16","OnceCaldas","Aguilas",2,3,0.00338066034909978
"17","OnceCaldas","Aguilas",2,4,0.000543711271696693
"18","OnceCaldas","Aguilas",2,5,6.88485658179588e-05
"19","OnceCaldas","Aguilas",3,0,0.0181786960801825
"20","OnceCaldas","Aguilas",3,1,0.0127540535924867
"21","OnceCaldas","Aguilas",3,2,0.00482556401796922
"22","OnceCaldas","Aguilas",3,3,0.00544622356638641
"23","OnceCaldas","Aguilas",3,4,0.000225499683678774
"24","OnceCaldas","Aguilas",3,5,3.16862836553006e-05
"25","OnceCaldas","Aguilas",4,0,0.00357377378503003
"26","OnceCaldas","Aguilas",4,1,0.00262820058729511
"27","OnceCaldas","Aguilas",4,2,0.00110014415074755
"28","OnceCaldas","Aguilas",4,3,0.000325553609829596
"29","OnceCaldas","Aguilas",4,4,0.0013959739129929
"30","OnceCaldas","Aguilas",4,5,1.17978526571117e-05
"31","OnceCaldas","Aguilas",5,0,0.000575694608659498
"32","OnceCaldas","Aguilas",5,1,0.000434212821746972
"33","OnceCaldas","Aguilas",5,2,0.000195671023167911
"34","OnceCaldas","Aguilas",5,3,6.64196831760768e-05
"35","OnceCaldas","Aguilas",5,4,1.7358453176446e-05
"36","OnceCaldas","Aguilas",5,5,0.000337067325206458
"37","Dep.Cali","Huila",0,0,0.0907137433671018
"38","Dep.Cali","Huila",0,1,0.0405798993724224
"39","Dep.Cali","Huila",0,2,0.0106819270973103
"40","Dep.Cali","Huila",0,3,0.00189200808928411
"41","Dep.Cali","Huila",0,4,0.000253635153904918
"42","Dep.Cali","Huila",0,5,2.74408081898179e-05
"43","Dep.Cali","Huila",1,0,0.152327043384461
"44","Dep.Cali","Huila",1,1,0.0992267536255879
"45","Dep.Cali","Huila",1,2,0.0224535638989084
"46","Dep.Cali","Huila",1,3,0.00406525769197862
"47","Dep.Cali","Huila",1,4,0.000552959859091207
"48","Dep.Cali","Huila",1,5,6.03238345995657e-05
"49","Dep.Cali","Huila",2,0,0.149167072139912
"50","Dep.Cali","Huila",2,1,0.0842016519240675
"51","Dep.Cali","Huila",2,2,0.0341006126221261
