HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA
Blackburn,Wolves,2.2,3.2,3.5,2,3.3,3.6,2.1,3.2,3.5,2,3.3,3.3,2,3.4,3.75,2,3.25,3.4,2.2,3.1,3.5,2.05,3.4,3.6,2.15,3.4,3.6,2,3.4,3.6
Fulham,Aston Villa,2.2,3.2,3.5,2.05,3.3,3.45,2.1,3.2,3.5,2.2,3.2,3,2.2,3.3,3.3,2.1,3.2,3.2,2.2,3.2,3.4,2.1,3.3,3.5,2.15,3.3,3.75,2.1,3.25,3.4
Liverpool,Sunderland,1.57,3.6,7,1.45,3.85,7.5,1.5,3.75,7,1.4,4.1,7,1.5,3.75,7.5,1.4,4,7.5,1.57,3.75,6.5,1.5,3.9,7.5,1.53,4,7.5,1.5,3.75,7
Newcastle,Arsenal,3.75,3.25,2.1,3.65,3.25,2,3.75,3.2,2,3.7,3.3,1.9,3.75,3.4,2,3.4,3.4,1.95,3.75,3.2,2.05,4,3.5,1.91,3.8,3.4,2.1,3.75,3.25,2.05
QPR,Bolton,2.4,3.25,3,2.25,3.25,3.05,2.3,3.2,3,2.3,3.2,2.8,2.38,3.25,3,2.3,3.2,2.8,2.4,3.1,3.1,2.3,3.25,3.2,2.38,3.3,3.3,2.3,3.25,3.1
Wigan,Norwich,2.2,3.2,3.5,2.05,3.25,3.5,2.1,3.2,3.5,1.9,3.3,3.7,2,3.4,3.75,2.1,3.25,3.2,2.2,3.2,3.4,2.1,3.4,3.4,2.2,3.4,3.5,2,3.25,3.75
Stoke,Chelsea,5.5,3.5,1.7,5.75,3.45,1.62,5,3.5,1.7,5.4,3.7,1.55,5.5,3.75,1.62,5,3.6,1.6,5.5,3.4,1.7,5.5,3.6,1.67,5.5,3.75,1.7,5.5,3.6,1.62
West Brom,Man United,6.5,4,1.53,6.5,3.8,1.5,6,4,1.5,5.4,3.7,1.55,7,4,1.5,6.5,4,1.44,7,3.75,1.53,6.5,4,1.53,7,4.2,1.53,7,4.2,1.44
Man City,Swansea,1.29,5,13,1.25,5.5,10,1.25,5,12,1.22,5.3,11,1.25,5.5,12,1.2,5.5,12,1.3,4.5,13,1.25,5.5,12,1.25,6,13,1.2,6,13
Arsenal,Liverpool,2.5,3.25,2.9,2.45,3.3,2.95,2.5,3.1,2.8,2.3,3.2,2.8,2.38,3.25,3,2.4,3.1,2.75,2.6,3.2,2.75,2.5,3.2,2.9,2.5,3.12,3,2.62,3.1,2.75
